4974	23	\N
4974	3829	\N
4974	1463	\N
4974	15749	\N
4974	3144	\N
4974	17938	\N
4974	4539	\N
4974	1466	\N
4974	7238	\N
4974	13135	\N
4974	17939	\N
4974	2450	\N
4974	15751	\N
4974	15752	\N
4974	3830	\N
4974	17545	\N
4974	11187	\N
4974	6874	\N
4974	8888	\N
4974	17940	\N
4974	17941	\N
4974	1732	\N
4974	7354	\N
4974	17942	\N
4974	4543	\N
4974	11192	\N
4974	17080	\N
4974	1238	\N
4974	5721	\N
4974	15755	\N
4974	2940	\N
4974	17943	\N
4974	1978	\N
4974	2246	\N
4974	17452	\N
4974	17325	\N
4974	1874	\N
4974	17453	\N
4974	7990	\N
4974	17944	\N
4974	7177	\N
4974	368	\N
4974	12129	\N
4974	1519	\N
4974	471	\N
4974	4714	\N
4974	17945	\N
4974	6131	\N
4974	15760	\N
4974	423	\N
4974	9935	\N
4974	17946	\N
4974	17947	\N
4974	371	\N
4974	17948	\N
17436	4784	\N
17436	5042	\N
17436	7280	\N
17436	6289	\N
17436	4693	\N
17436	7800	\N
17436	6528	\N
17436	12291	1219315146
17436	13133	\N
17436	9506	1217868274
4118	1260	1158593470
4118	4649	1162847474
4118	2913	\N
4118	4784	\N
4118	6027	1160958481
4118	11968	\N
4118	5884	\N
4118	3761	\N
4118	4974	\N
4118	5001	\N
4118	3532	\N
4118	4693	\N
4118	4789	\N
4118	15886	\N
4118	8373	\N
4118	4837	\N
4118	17934	\N
4118	7441	\N
4118	2925	1219628678
4118	2926	\N
4118	11452	1173365711
4118	15409	1168953368
4118	1262	\N
4118	15032	\N
4118	8145	1164812729
4118	15747	1226160861
4118	5563	\N
4118	17949	1165282685
4118	10435	\N
4118	4822	1169394489
4118	6448	1225339254
4118	6100	1171722388
4118	17936	1179378449
4118	12346	1222890507
4118	17950	1183000618
4118	17942	1200424712
4118	17951	1174868653
4118	2625	1174455182
4118	17452	1226655068
4118	12817	1169065062
4118	17952	\N
4118	17948	1225175419
3531	3526	1196955803
3531	5547	1208716152
3531	4617	1199470268
3531	5980	1171655479
3531	17038	\N
3531	3357	\N
3531	13132	\N
3531	1206	\N
3531	10177	\N
3531	11968	\N
3531	3420	\N
3531	7010	1176077742
3531	3530	\N
3531	753	\N
3531	3532	\N
3531	15886	\N
3531	3533	\N
3531	3534	\N
3531	3535	\N
3531	295	\N
3531	14436	\N
3531	7044	1189030414
3531	4098	1202522568
3531	17953	1161090543
3531	14440	1179523139
3531	4091	1193838891
3531	14441	1208921696
3531	10544	1225734182
3531	10545	1195497726
3531	23	1206811038
3531	17954	1200261702
3531	17955	1223421232
3531	3551	1201305064
3531	1257	1227210438
4477	4471	1229395170
4477	17470	\N
4477	561	\N
4477	1794	\N
4477	7157	1225933121
4477	16899	\N
4477	8260	\N
4477	17956	\N
4477	1088	\N
4477	908	\N
4477	13375	\N
4477	2412	\N
4477	1726	1217564899
4477	6603	1167648000
